"Entry"	"Entry.Name"	"Reviewed"	"Protein.names"	"Gene.Names"	"Organism"	"Length"	"Functions"
"O60200"	"MDM35_YEAST"	"reviewed"	"Mitochondrial distribution and morphology protein 35"	"MDM35 YKL053C-A"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	86	"FUNCTION: Involved in mitochondrial distribution and morphology. Mediates the import of UPS1, UPS2 and UPS3, 3 atypical mitochondrial intermembrane space (IMS) proteins lacking the two major IMS-targeting signals, into the intermembrane space. The UPS1:MDM35 complex mediates the transfer of phosphatidic acid (PA) between liposomes and probably functions as a PA transporter across the mitochondrion intermembrane space (PubMed:26071602, PubMed:26071601, PubMed:26235513). Phosphatidic acid import is required for cardiolipin (CL) synthesis in the mitochondrial inner membrane (PubMed:26071602). {ECO:0000269|PubMed:11907266, ECO:0000269|PubMed:20622808, ECO:0000269|PubMed:20657548, ECO:0000269|PubMed:26071601, ECO:0000269|PubMed:26071602, ECO:0000269|PubMed:26235513}."
"O74700"	"TIM9_YEAST"	"reviewed"	"Mitochondrial import inner membrane translocase subunit TIM9"	"TIM9 YEL020W-A YEL020BW"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	87	"FUNCTION: Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. Compared to TIM10, it may have a strong structural role. {ECO:0000269|PubMed:10369662, ECO:0000269|PubMed:10995434, ECO:0000269|PubMed:11483513, ECO:0000269|PubMed:11509656, ECO:0000269|PubMed:12138093, ECO:0000269|PubMed:12391147, ECO:0000269|PubMed:14978039, ECO:0000269|PubMed:16039669, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}."
"O94742"	"SEM1_YEAST"	"reviewed"	"26S proteasome complex subunit SEM1"	"SEM1 DSH1 YDR363W-A"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	89	"FUNCTION: Versatile protein that might stabilize multiple protein complexes involved in diverse pathways. Subunit of the 26S proteasome which plays a role in ubiquitin-dependent proteolysis. Associates also with the TREX-2 complex that is required for transcription-coupled mRNA export, and the COP9 signalosome, which is involved in deneddylation. {ECO:0000269|PubMed:15117943, ECO:0000269|PubMed:19289793}."
"P00044"	"CYC1_YEAST"	"reviewed"	"Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)"	"CYC1 YJR048W J1653"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	109	"FUNCTION: Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of ubiquinol-cytochrome c oxidoreductase. Cytochrome c then transfers this electron to the dinuclear copper A center (CU(A)) of the COX2 subunit of cytochrome oxidase, the final protein carrier in the mitochondrial electron-transport chain. Isoform 1 (CYC1) is the predominant cytochrome c during aerobic/normoxic growth. {ECO:0000269|PubMed:7814361, ECO:0000269|PubMed:7851399, ECO:0000269|PubMed:9169434}."
"P00045"	"CYC7_YEAST"	"reviewed"	"Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)"	"CYC7 CYP3 YEL039C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	113	"FUNCTION: Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of ubiquinol-cytochrome c oxidoreductase. Cytochrome c then transfers this electron to the dinuclear copper A center (CU(A)) of the COX2 subunit of cytochrome oxidase, the final protein carrier in the mitochondrial electron-transport chain. Isoform 2 (CYC7) is the predominant cytochrome c under anaerobic/hypoxic conditions. {ECO:0000269|PubMed:7814361, ECO:0000269|PubMed:9169434}."
"P00127"	"QCR6_YEAST"	"reviewed"	"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)"	"QCR6 UCR6 YFR033C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	147	"FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. {ECO:0000250|UniProtKB:P07919, ECO:0000305|PubMed:11880631}."
"P00128"	"QCR7_YEAST"	"reviewed"	"Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)"	"QCR7 CRO1 UCR7 YDR529C D9719.32"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	127	"FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. {ECO:0000305|PubMed:11880631}."
"P00163"	"CYB_YEAST"	"reviewed"	"Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)"	"COB CYTB Q0105"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	385	"FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c (Probable). Cytochrome b is a catalytic core subunit containing 2 b-type hemes BL and BH topographically segregated in the quinone reduction (Qi) and quinol oxidation (Q0) sites on opposite sides of the membrane (PubMed:18390544). {ECO:0000269|PubMed:18390544, ECO:0000305|PubMed:11880631, ECO:0000305|PubMed:2551731, ECO:0000305|PubMed:8031140}."
"P00175"	"CYB2_YEAST"	"reviewed"	"L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)"	"CYB2 YML054C YM9958.08C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	591	"FUNCTION: Catalyzes the oxidation of (S)-lactate (L-lactate) to pyruvate with subsequent transfer of electrons to cytochrome c (PubMed:11914072). Is involved in the utilization of (S)-lactate as a sole source of carbon for growth (PubMed:3004948). Can also use ferricyanide as an electron acceptor in vitro (PubMed:4593578, PubMed:3004948). {ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:3004948, ECO:0000269|PubMed:4593578}."
"P00330"	"ADH1_YEAST"	"reviewed"	"Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)"	"ADH1 ADC1 YOL086C O0947"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	348	"FUNCTION: Preferentially fermentative isozyme that reduces acetaldehyde to ethanol during the fermentation of glucose. Major enzyme required for the conversion of acetaldehyde to ethanol (Probable) (PubMed:22094012). Plays a key role in the carbohydrate metabolism through the regeneration of NAD(+) from glycolytic NADH (Probable). In the reverse reaction, preferentially catalyzes the conversion of primary unbranched alcohols to their corresponding aldehydes. Also shows activity toward secondary alcohols (Probable). Most active with ethanol, and its activity decreases as the size of the alcohol is increased (PubMed:8463307). {ECO:0000269|PubMed:22094012, ECO:0000269|PubMed:8463307, ECO:0000305|PubMed:12702265}."
"P00331"	"ADH2_YEAST"	"reviewed"	"Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)"	"ADH2 ADR2 YMR303C YM9952.05C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	348	"FUNCTION: Preferentially oxidative, glucose-repressed isozyme that catalyzes the conversion of ethanol to acetaldehyde. Main enzyme involved in ethanol consumption. Acts on a variety of primary unbranched aliphatic alcohols (PubMed:3546317) (Probable). Also produces ethanol from glucose, albeit less than ADH1 (PubMed:22094012). {ECO:0000269|PubMed:22094012, ECO:0000269|PubMed:3546317, ECO:0000305|PubMed:12702265}."
"P00358"	"G3P2_YEAST"	"reviewed"	"Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)"	"TDH2 GPD2 YJR009C J1433"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	332	"FUNCTION: Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) involved in glycolysis and gluconeogenesis (PubMed:2999100). Catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate (PubMed:3905788). The contribution of the TDH1, TDH2, and TDH3 to the total glyceraldehyde-3-phosphate dehydrogenase activity is 10-15, 25-30, and 50-60%, respectively (PubMed:3905788). {ECO:0000269|PubMed:2999100, ECO:0000269|PubMed:3905788}.; FUNCTION: As a side activity, catalyzes the hydration of the nicotinamide ring of NADH or NADPH at the C6 position to give the corresponding hydrates, NADHX and NADPHX, which exist as R and S epimers, that cannot act as electron donors or acceptors and inhibit several dehydrogenases, making them toxic. {ECO:0000269|PubMed:13174589, ECO:0000269|PubMed:4371815}."
"P00359"	"G3P3_YEAST"	"reviewed"	"Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)"	"TDH3 GPD3 YGR192C G7576"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	332	"FUNCTION: Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) involved in glycolysis and gluconeogenesis (PubMed:2999100). Catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate (PubMed:3905788). The contribution of the TDH1, TDH2, and TDH3 to the total glyceraldehyde-3-phosphate dehydrogenase activity is 10-15, 25-30, and 50-60%, respectively (PubMed:3905788). {ECO:0000269|PubMed:2999100, ECO:0000269|PubMed:3905788}.; FUNCTION: As a side activity, catalyzes the hydration of the nicotinamide ring of NADH or NADPH at the C6 position to give the corresponding hydrates, NADHX and NADPHX, which exist as R and S epimers, that cannot act as electron donors or acceptors and inhibit several dehydrogenases, making them toxic. {ECO:0000269|PubMed:13174589, ECO:0000269|PubMed:4371815}."
"P00360"	"G3P1_YEAST"	"reviewed"	"Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)"	"TDH1 GPD1 SSS2 YJL052W J1154"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	332	"FUNCTION: Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) involved in glycolysis and gluconeogenesis (PubMed:2999100). Catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate (PubMed:3905788). The contribution of the TDH1, TDH2, and TDH3 to the total glyceraldehyde-3-phosphate dehydrogenase activity is 10-15, 25-30, and 50-60%, respectively (PubMed:3905788). May be involved in a process other than glycolysis because it is synthesized by cells in stationary phase (PubMed:7875559). {ECO:0000269|PubMed:2999100, ECO:0000269|PubMed:3905788, ECO:0000269|PubMed:7875559}.; FUNCTION: As a side activity, catalyzes the hydration of the nicotinamide ring of NADH or NADPH at the C6 position to give the corresponding hydrates, NADHX and NADPHX, which exist as R and S epimers, that cannot act as electron donors or acceptors and inhibit several dehydrogenases, making them toxic. {ECO:0000269|PubMed:13174589, ECO:0000269|PubMed:4371815}."
"P00401"	"COX1_YEAST"	"reviewed"	"Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)"	"COX1 OXI3 Q0045"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	534	"FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of COX2 and heme A of COX1 to the active site in COX1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (Probable). COX1 is a catalytic core subunit containing heme A and the active site BNC with heme A3 and the copper atom CU(B) (PubMed:30598554). {ECO:0000269|PubMed:30598554, ECO:0000305|PubMed:30598554}."
"P00410"	"COX2_YEAST"	"reviewed"	"Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)"	"COX2 OXI1 Q0250"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	251	"FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of COX2 and heme A of COX1 to the active site in COX1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules unsing 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix (Probable). COX2 is a catalytic core subunit which transfers the electrons from cytochrome c via its dinuclear copper A center (CU(A)) to the BNC of the COX1 (PubMed:30598554). {ECO:0000269|PubMed:30598554, ECO:0000305|PubMed:30598554}."
